雪鹑属	雪鹑
鹃鵙属	暗灰鹃鵙
山椒鸟属	粉红山椒鸟
山椒鸟属	小灰山椒鸟
山椒鸟属	长尾山椒鸟
山椒鸟属	短嘴山椒鸟
扇尾鹟属	黄腹扇尾鹟
天鹅属	大天鹅
扇尾鹟属	白眉扇尾鹟
卷尾属	灰卷尾
黑枕王鹟属	黑枕王鹟
天鹅属	小天鹅
寿带属	紫寿带[鸟]
寿带属	寿带[鸟]
雀鹎属	大绿雀鹎
太平鸟属	太平鸟
太平鸟属	小太平鸟
河乌属	河乌
河乌属	褐河乌
矶鸫属	白背矶鸫
雁属	鸿雁
矶鸫属	蓝头矶鸫
矶鸫属	白喉矶鸫
矶鸫属	栗腹矶鸫
矶鸫属	蓝矶鸫
啸鸫属	紫啸鸫
啸鸫属	台湾紫啸鸫
地鸫属	橙头地鸫
地鸫属	白眉地鸫
地鸫属	光背地鸫
地鸫属	长尾地鸫
石鸡属	石鸡
雁属	豆雁
地鸫属	虎斑地鸫
地鸫属	长嘴地鸫
鸫属	灰背鸫
鸫属	黑胸鸫
鸫属	乌灰鸫
鸫属	白颈鸫
鸫属	灰翅鸫
鸫属	乌鸫
鸫属	岛鸫
鸫属	灰头鸫
雁属	白额雁
鸫属	棕背黑头鸫
鸫属	褐头鸫
鸫属	白眉鸫
鸫属	槲鸫
鸫属	白腹鸫
鸫属	赤胸鸫
鸫属	赤颈鸫
鸫属	斑鸫
鸫属	田鸫
鸫属	白眉歌鸫
雁属	小白额雁
鸫属	欧歌鸫
鸫属	宝兴歌鸫
短翅鸫属	栗背短翅鸫
短翅鸫属	锈腹短翅鸫
短翅鸫属	白喉短翅鸫
短翅鸫属	蓝短翅鸫
林鹟属	白喉林鹟
鹟属	斑鹟
鹟属	灰纹鹟
鹟属	乌鹟
雁属	灰雁
鹟属	北灰鹟
鹟属	褐胸鹟
鹟属	棕尾褐鹟
姬鹟属	白眉[姬]鹟
姬鹟属	黄眉[姬]鹟
姬鹟属	鸲[姬]鹟
姬鹟属	锈胸蓝[姬]鹟
姬鹟属	橙胸[姬]鹟
姬鹟属	红喉[姬]鹟
姬鹟属	白喉[姬]鹟
雁属	斑头雁
姬鹟属	棕胸蓝[姬]鹟
姬鹟属	白眉蓝[姬]鹟
姬鹟属	灰蓝[姬]鹟
姬鹟属	玉头[姬]鹟
鹟属	铜蓝鹟
仙鹟属	大仙鹟
仙鹟属	小仙鹟
仙鹟属	棕腹大仙鹟
雁属	雪雁
仙鹟属	棕腹仙鹟
仙鹟属	棕腹蓝仙鹟
仙鹟属	白尾蓝仙鹟
仙鹟属	海南蓝仙鹟
仙鹟属	灰颊仙鹟
仙鹟属	纯蓝仙鹟
仙鹟属	蓝喉仙鹟
仙鹟属	山蓝仙鹟
方尾鹟属	方尾鹟
黑雁属	加拿大雁
欧亚鸲属	欧亚鸲
欧亚鸲属	[日本]歌鸲
歌鸲属	琉球歌鸲
歌鸲属	红尾歌鸲
歌鸲属	红点颏,红喉歌鸲
歌鸲属	黑胸歌鸲
歌鸲属	蓝喉歌鸲[蓝点颏]
歌鸲属	棕头歌鸲
歌鸲属	黑喉歌鸲
黑雁属	黑雁
歌鸲属	金胸歌鸲
歌鸲属	栗腹歌鸲
歌鸲属	蓝歌鸲
鸲属	红胁蓝尾鸲
鸲属	金色林鸲
鸲属	白眉林鸲
鸲属	棕腹林鸲
鸲属	台湾林鸲
鹊鸲属	白腰鹊鸲
黑雁属	红胸黑雁
红尾鸲属	贺兰山红尾鸲
红尾鸲属	红背红尾鸲
红尾鸲属	蓝头红尾鸲
红尾鸲属	赭红尾鸲
红尾鸲属	欧亚红尾鸲
红尾鸲属	黑喉红尾鸲
红尾鸲属	白喉红尾鸲
红尾鸲属	北红尾鸲
红尾鸲属	红腹红尾鸲
红尾鸲属	蓝额红尾鸲
麻鸭属	赤麻鸭
溪鸲属	白顶溪鸲
水鸲属	红尾水鸲
短翅鸲属	白腹短翅鸲
地鸲属	白尾蓝[地]鸲
地鸲属	蓝额[长脚]地鸲
大翅鸲属	蓝大翅鸲
燕尾属	小燕尾
燕尾属	黑背燕尾
燕尾属	灰背燕尾
燕尾属	白冠燕尾
石鸡属	大石鸡
麻鸭属	冠麻鸭
燕尾属	斑背燕尾
宽嘴鸫属	紫宽嘴鸫
宽嘴鸫属	绿宽嘴鸫
石鵖属	白喉石鵖
石鵖属	黑喉石鵖
石鵖属	白斑黑石鵖
石鵖属	黑白林鵖
石鵖属	灰林鵖
鵖属	穗鵖
鵖属	[东方]斑鵖
麻鸭属	翘鼻麻鸭
鵖属	白顶鵖
鵖属	漠鵖
鵖属	沙鵖
椋鸟属	灰头椋鸟
椋鸟属	黑冠椋鸟
椋鸟属	丝光椋鸟
椋鸟属	北椋鸟
椋鸟属	紫背椋鸟
椋鸟属	灰背椋鸟
椋鸟属	粉红椋鸟
瘤鸭属	瘤鸭
椋鸟属	紫翅椋鸟
椋鸟属	灰椋鸟
椋鸟属	斑椋鸟
椋鸟属	黑领椋鸟
椋鸟属	红嘴椋鸟
八哥属	家八哥
八哥属	灰背岸八哥
八哥属	林八哥
八哥属	白领八哥
八哥属	八哥
棉凫属	棉凫
树八哥属	金冠树八哥
鹩哥属	鹩哥
樖	普通
樖	栗臀
樖	栗腹
樖	白尾
樖	黑头
樖	滇
樖	白脸
樖	绒额
鸳鸯属	鸳鸯
樖	淡紫
樖	巨
樖	丽
旋壁雀属	红翅旋壁雀
旋木雀属	旋木雀
旋木雀属	高山旋木雀
旋木雀属	锈红腹旋木雀
旋木雀属	褐喉旋木雀
鹪鹩属	鹪鹩
攀雀属	白冠攀雀
[河]鸭属	赤膀鸭
攀雀属	中华攀雀
火冠雀属	火冠雀
山雀属	沼泽山雀
山雀属	褐头山雀
山雀属	白眉山雀
山雀属	红腹山雀
山雀属	西伯利亚山雀
山雀属	棕枕山雀
山雀属	黑冠山雀
山雀属	煤山雀
[河]鸭属	罗纹鸭
山雀属	黄腹山雀
山雀属	褐冠山雀
山雀属	西域山雀
山雀属	绿背山雀
山雀属	黄颊山雀
山雀属	台湾黄山雀
山雀属	灰蓝山雀
山雀属	黄胸山雀
山雀属	杂色山雀
[河]鸭属	赤颈鸭
林雀属	黄眉林雀
冕雀属	冕雀
长尾山雀属	银喉[长尾]山雀
长尾山雀属	红头[长尾]山雀
长尾山雀属	黑头[长尾]山雀
长尾山雀属	黑眉[长尾]山雀
长尾山雀属	银脸[长尾]山雀
河燕属	白眼河燕
沙燕属	褐喉沙燕
[河]鸭属	葡萄胸鸭
燕属	岩燕
燕属	纯色岩燕
燕属	洋斑燕
燕属	斑腰燕
毛脚燕属	[白腹]毛脚燕
毛脚燕属	烟腹毛脚燕
毛脚燕属	黑喉毛脚燕
戴菊属	戴菊
[河]鸭属	绿头鸭
戴菊属	台湾戴菊
雀嘴鹎属	凤头雀嘴鹎
雀嘴鹎属	领雀嘴鹎
鹎属	纵纹绿鹎
鹎属	黑头鹎
鹎属	黄臀鹎
鹎属	白头鹎
鹎属	台湾鹎
[河]鸭属	斑嘴鸭
鹎属	白颊鹎
鹎属	黑喉红臀鹎
鹎属	纹喉鹎
鹎属	黄绿鹎
冠鹎属	黄腹冠鹎
冠鹎属	白喉冠鹎
短脚鹎属	灰眼短脚鹎
短脚鹎属	栗耳[短脚]鹎
短脚鹎属	灰短脚鹎
[河]鸭属	棕颈鸭
短脚鹎属	栗背短脚鹎
短脚鹎属	绿翅短脚鹎
短脚鹎属	黑[短脚]鹎
扇尾莺属	棕扇尾莺
扇尾莺属	金头扇尾莺
山鹛属	山鹛
鹪莺属	山鹪莺
鹪莺属	褐山鹪莺
鹪莺属	黑喉山鹪莺
鹪莺属	暗冕鹪莺
[河]鸭属	琵嘴鸭
鹪莺属	灰胸鹪莺
鹪莺属	黄腹鹪莺
鹪莺属	褐头鹪莺
绣眼鸟属	红胁绣眼鸟
绣眼鸟属	灰腹绣眼鸟
绣眼鸟属	暗绿绣眼鸟
地莺属	栗头地莺
地莺属	金冠地莺
地莺属	灰腹地莺
树莺属	鳞头树莺
[河]鸭属	针尾鸭
树莺属	淡脚树莺
树莺属	远东树莺
树莺属	日本树莺
树莺属	强脚树莺
树莺属	大树莺
树莺属	异色树莺
树莺属	黄腹树莺
树莺属	棕顶树莺
树莺属	宽尾树莺
短翅莺属	斑胸短翅莺
[河]鸭属	白眉鸭
短翅莺属	巨嘴短翅莺
短翅莺属	中华短翅莺
短翅莺属	棕褐短翅莺
短翅莺属	高山短翅莺
蝗莺属	矛斑蝗莺
蝗莺属	黑斑蝗莺
蝗莺属	小蝗莺
蝗莺属	北蝗莺
蝗莺属	史氏蝗莺
蝗莺属	鸲蝗莺
[河]鸭属	花脸鸭
蝗莺属	苍眉蝗莺
蝗莺属	斑背大尾莺
苇莺属	水蒲苇莺
苇莺属	细纹苇莺
苇莺属	黑眉苇莺
苇莺属	稻田苇莺
苇莺属	远东苇莺
苇莺属	钝翅[稻田]苇莺
苇莺属	芦苇莺
苇莺属	布氏苇莺
[河]鸭属	绿翅鸭
苇莺属	大苇莺
苇莺属	东方大苇莺
苇莺属	噪大苇莺
苇莺属	厚嘴苇莺
篱莺属	靴篱莺
篱莺属	赛氏篱莺
篱莺属	草绿篱莺
缝叶莺属	金头缝叶莺
缝叶莺属	长尾缝叶莺
缝叶莺属	黑喉缝叶莺
云石斑鸭属	云石斑鸭
雀莺属	花彩雀莺
雀莺属	凤头雀莺
柳莺属	叽咋柳莺
柳莺属	东方叽咋柳莺
柳莺属	林柳莺
柳莺属	褐柳莺
柳莺属	烟柳莺
柳莺属	黄腹柳莺
柳莺属	棕腹柳莺
柳莺属	灰柳莺
狭嘴潜鸭属	赤嘴潜鸭
柳莺属	棕眉柳莺
柳莺属	巨嘴柳莺
柳莺属	橙斑翅柳莺
柳莺属	灰喉柳莺
柳莺属	黄腰柳莺
柳莺属	淡黄腰柳莺
柳莺属	甘肃[黄腰]柳莺
柳莺属	四川柳莺
柳莺属	黄眉柳莺
柳莺属	淡眉柳莺
潜鸭属	红头潜鸭
柳莺属	极北柳莺
柳莺属	暗绿柳莺
柳莺属	双斑绿柳莺
柳莺属	灰脚柳莺
柳莺属	乌嘴柳莺
柳莺属	冕柳莺
柳莺属	峨眉柳莺
柳莺属	冠纹柳莺
柳莺属	白斑尾柳莺
柳莺属	海南柳莺
雉科	雪鹑
雉科	灰山鹑
鸭科	帆背潜鸭
莺科	黄胸柳莺
莺科	黑眉柳莺
莺科	金眶鹟莺
莺科	灰头鹟莺
莺科	白眶鹟莺
莺科	灰脸鹟莺
莺科	栗头鹟莺
莺科	宽嘴鹟莺
莺科	棕脸鹟莺
莺科	黑脸鹟莺
鸭科	白眼潜鸭
莺科	黄腹鹟莺
莺科	沼泽大尾莺
莺科	大草莺
莺科	黑脸噪鹛
莺科	白喉噪鹛
莺科	白冠噪鹛
莺科	小黑领噪鹛
莺科	黑领噪鹛
莺科	条纹噪鹛
莺科	白颈噪鹛
鸭科	青头潜鸭
莺科	褐胸噪鹛
莺科	栗颈噪鹛
莺科	黑喉噪鹛
莺科	黄喉噪鹛
莺科	栗臀噪鹛
莺科	山噪鹛
莺科	黑额山噪鹛
莺科	灰翅噪鹛
莺科	棕颏噪鹛
莺科	斑背噪鹛
莺科	白点鹛
莺科	大噪鹛
莺科	眼纹噪鹛
莺科	灰胁噪鹛
莺科	棕噪鹛
莺科	斑胸噪鹛
莺科	画眉
莺科	白颊噪鹛
莺科	细纹噪鹛
莺科	蓝翅噪鹛
鸭科	斑背潜鸭
莺科	纯色噪鹛
莺科	橙翅噪鹛
莺科	杂色噪鹛
莺科	灰腹噪鹛
莺科	黑顶噪鹛
莺科	玉山噪鹛
莺科	红头噪鹛
莺科	丽色噪鹛
莺科	赤尾噪鹛
莺科	红翅薮鹛
鸭科	小绒鸭
莺科	灰胸薮鹛
莺科	黄痣薮鹛
莺科	棕胸雅鹛
莺科	白腹幽鹛
莺科	棕头幽鹛
莺科	长嘴钩嘴鹛
莺科	斑胸钩嘴鹛
莺科	锈脸钩嘴鹛
莺科	灰头钩嘴鹛
莺科	棕颈钩嘴鹛
鸭科	丑鸭
莺科	棕头钩嘴鹛
莺科	红嘴钩嘴鹛
莺科	剑嘴鹛
莺科	长嘴鹩鹛
莺科	灰岩鹪鹛
莺科	短尾鹪鹛
莺科	纹胸鹪鹛
莺科	鳞胸鹪鹛
莺科	小鳞[胸]鹪鹛
莺科	短尾鹩鹛
鸭科	长尾鸭
莺科	锈喉鹩鹛
莺科	斑翅鹩鹛
莺科	丽星鹩鹛
莺科	长尾鹩鹛
莺科	楔头鹩鹛
莺科	红额穗鹛
莺科	红头穗鹛
莺科	金头穗鹛
莺科	黑头穗鹛
莺科	斑颈穗鹛
鸭科	黑海番鸭
莺科	纹胸巨鹛
莺科	红顶鹛
莺科	金眼鹛雀
莺科	宝兴鹛雀
莺科	矛纹草鹛
莺科	大草鹛
莺科	棕草鹛
莺科	银耳相思鸟
莺科	红嘴相思鸟
莺科	斑胁姬鹛
鸭科	斑脸海番鸭
莺科	棕腹鵙鹛
莺科	红翅鵙鹛
莺科	淡绿鵙鹛
莺科	栗喉鵙鹛
莺科	白头鵙鹛
莺科	锈额斑翅鹛
莺科	白眶斑翅鹛
莺科	纹头斑翅鹛
莺科	纹胸斑翅鹛
雉科	斑翅山鹑
鸭科	鹊鸭
莺科	台湾斑翅鹛
莺科	蓝翅希鹛
莺科	斑喉希鹛
莺科	火尾希鹛
莺科	金胸雀鹛
莺科	金额雀鹛
莺科	黄喉雀鹛
莺科	栗头雀鹛
莺科	白眉雀鹛
鸭科	白秋沙鸭
莺科	高山雀鹛
莺科	棕头雀鹛
莺科	褐头雀鹛
莺科	路德雀鹛
莺科	棕喉雀鹛
莺科	褐顶雀鹛
莺科	褐胁雀鹛
莺科	褐脸雀鹛
莺科	灰眶雀鹛
莺科	白眶雀鹛
鸭科	红胸秋沙鸭
莺科	栗背奇鹛
莺科	黑顶奇鹛
莺科	灰奇鹛
莺科	黑头奇鹛
莺科	白耳奇鹛
莺科	丽色奇鹛
莺科	长尾奇鹛
莺科	栗耳凤鹛
莺科	白项凤鹛
莺科	黄颈凤鹛
鸭科	中华秋沙鸭
莺科	纹喉凤鹛
莺科	棕肛凤鹛
莺科	褐头凤鹛
莺科	黑额凤鹛
莺科	白腹凤鹛
莺科	火尾绿鹛
莺科	文须雀
莺科	红嘴鸦雀
莺科	三趾鸦雀
鸭科	普通秋沙鸭
莺科	褐鸦雀
莺科	灰头鸦雀
莺科	斑胸鸦雀
莺科	点胸鸦雀
莺科	白眶鸦雀
莺科	棕头鸦雀
莺科	褐翅鸦雀
莺科	灰喉鸦雀
莺科	暗色鸦雀
莺科	灰冠鸦雀
三趾鹑科	林三趾鹑
莺科	黄额鸦雀
莺科	橙额鸦雀
莺科	金色鸦雀
莺科	短尾鸦雀
莺科	黑眉鸦雀
莺科	红头鸦雀
莺科	震旦鸦雀
莺科	灰[白喉]林莺
莺科	白喉林莺
莺科	沙白喉林莺
三趾鹑科	黄脚三趾鹑
莺科	漠地林莺
莺科	横斑林莺
百灵科	歌百灵
百灵科	二斑百灵
百灵科	长嘴百灵
百灵科	[蒙古]百灵
百灵科	白翅百灵
百灵科	黑百灵
百灵科	短趾百灵
百灵科	细嘴短趾百灵
百灵科	[亚洲]短趾百灵
百灵科	凤头百灵
百灵科	云雀
百灵科	日本云雀
百灵科	小云雀
百灵科	角百灵
太阳鸟科	厚嘴啄花鸟
太阳鸟科	黄腹啄花鸟
太阳鸟科	纯色啄花鸟
响蜜毧	黄腰响蜜
太阳鸟科	朱背啄花鸟
太阳鸟科	紫颊直嘴太阳鸟
太阳鸟科	蓝枕花蜜鸟
太阳鸟科	紫色花蜜鸟
太阳鸟科	蓝喉太阳鸟
太阳鸟科	绿喉太阳鸟
太阳鸟科	叉尾太阳鸟
太阳鸟科	黑胸太阳鸟
啄木鸟科	蚁
太阳鸟科	黄腰太阳鸟
太阳鸟科	火尾太阳鸟
太阳鸟科	长嘴捕蛛鸟
太阳鸟科	纹背捕蛛鸟
麻雀科	黑顶麻雀
麻雀科	家麻雀
麻雀科	黑胸麻雀
麻雀科	山麻雀
麻雀科	[树]麻雀
麻雀科	石雀
雉科	高原山鹑
啄木鸟科	斑姬啄木鸟
麻雀科	白斑翅雪雀
麻雀科	褐翅雪雀
麻雀科	白腰雪雀
麻雀科	黑喉雪雀
麻雀科	棕颈雪雀
麻雀科	棕背雪雀
麻雀科	山鹡鸰
麻雀科	黑背鹡鸰
麻雀科	日本鹡鸰
啄木鸟科	白眉棕啄木鸟
麻雀科	黄头鹡鸰
麻雀科	黄鹡鸰
麻雀科	灰鹡鸰
麻雀科	理氏鹨
麻雀科	田鹨
麻雀科	平原鹨
麻雀科	布莱氏鹨
麻雀科	林鹨
麻雀科	树鹨
麻雀科	北鹨
啄木鸟科	星头啄木鸟
麻雀科	草地鹨
麻雀科	红喉鹨
麻雀科	粉红胸鹨
麻雀科	水鹨
麻雀科	黄腹鹨
麻雀科	山鹨
麻雀科	领岩鹨
麻雀科	高原岩鹨
麻雀科	鸲岩鹨
麻雀科	棕胸岩鹨
啄木鸟科	小星头啄木鸟
麻雀科	棕眉山岩鹨
麻雀科	褐岩鹨
麻雀科	黑喉岩鹨
麻雀科	贺兰山岩鹨
麻雀科	栗背岩鹨
麻雀科	黑喉织布鸟
麻雀科	纹胸织布鸟
麻雀科	黄胸织布鸟
麻雀科	[红]梅花雀
麻雀科	白腰文鸟
啄木鸟科	小斑啄木鸟
麻雀科	斑文鸟
麻雀科	栗腹文鸟
麻雀科	禾雀
燕雀科	苍头燕雀
燕雀科	燕雀
燕雀科	金翅[雀]
燕雀科	高山金翅[雀]
燕雀科	黑头金翅[雀]
燕雀科	黄雀
啄木鸟科	茶胸斑啄木鸟
燕雀科	藏黄雀
燕雀科	红额金翅[雀]
燕雀科	极北朱顶雀
燕雀科	白腰朱顶雀
燕雀科	黄嘴朱顶雀
燕雀科	赤胸朱顶雀
燕雀科	林岭雀
燕雀科	高山岭雀
燕雀科	褐头岭雀
燕雀科	粉红腹岭雀
啄木鸟科	纹胸啄木鸟
燕雀科	红眉金翅雀
燕雀科	赤翅沙雀
燕雀科	蒙古沙雀
燕雀科	巨嘴沙雀
燕雀科	长尾雀
燕雀科	赤朱雀
燕雀科	暗胸朱雀
燕雀科	普通朱雀
燕雀科	红眉朱雀
燕雀科	曙红朱雀
啄木鸟科	棕腹啄木鸟
燕雀科	玫红眉朱雀
燕雀科	酒红朱雀
燕雀科	棕朱雀
燕雀科	沙色朱雀
燕雀科	北朱雀
燕雀科	斑翅朱雀
燕雀科	点翅朱雀
燕雀科	白眉朱雀
燕雀科	红腰朱雀
燕雀科	拟大朱雀
啄木鸟科	赤胸啄木鸟
燕雀科	大朱雀
燕雀科	红胸朱雀
燕雀科	藏雀
燕雀科	松雀
燕雀科	红眉松雀
燕雀科	血雀
燕雀科	红交嘴雀
燕雀科	白翅交嘴雀
燕雀科	褐灰雀
燕雀科	红头灰雀
啄木鸟科	黄颈啄木鸟
燕雀科	灰头灰雀
燕雀科	锡嘴雀
燕雀科	黑尾蜡嘴雀
燕雀科	黑头蜡嘴雀
燕雀科	黄颈拟蜡嘴雀
燕雀科	白点翅拟蜡嘴雀
燕雀科	白斑翅拟蜡嘴雀
燕雀科	金枕黑雀
燕雀科	朱鹀
雉科	鹌鹑
啄木鸟科	白背啄木鸟
燕雀科	凤头鹀
燕雀科	蓝鹀
燕雀科	黄鹀
燕雀科	白头鹀
燕雀科	藏鹀
燕雀科	灰眉岩鹀
燕雀科	戈氏岩鹀
燕雀科	三道眉草鹀
燕雀科	栗斑腹鹀
燕雀科	灰颈鹀
啄木鸟科	大斑啄木鸟
燕雀科	圃鹀
燕雀科	白眉鹀
燕雀科	栗耳鹀
燕雀科	小鹀
燕雀科	黄眉鹀
燕雀科	田鹀
燕雀科	黄喉鹀
燕雀科	黄胸鹀
燕雀科	栗鹀
燕雀科	黑头鹀
啄木鸟科	白翅啄木鸟
燕雀科	褐头鹀
燕雀科	硫黄鹀
燕雀科	灰头鹀
燕雀科	灰鹀
燕雀科	苇鹀
燕雀科	芦鹀
燕雀科	红颈苇鹀
燕雀科	黍鹀
燕雀科	铁爪鹀
燕雀科	雪鹀
啄木鸟科	三趾啄木鸟
啄木鸟科	栗啄木鸟
啄木鸟科	白腹黑啄木鸟
啄木鸟科	黑啄木鸟
啄木鸟科	黄冠啄木鸟
啄木鸟科	大黄冠啄木鸟
啄木鸟科	花腹绿啄木鸟
雉科	日本鹌鹑
啄木鸟科	鳞喉绿啄木鸟
啄木鸟科	鳞腹绿啄木鸟
啄木鸟科	红颈绿啄木鸟
啄木鸟科	灰头绿啄木鸟
啄木鸟科	喜山金背三趾啄木鸟
啄木鸟科	大金背啄木鸟
啄木鸟科	黄嘴栗啄木鸟
雉科	蓝胸鹑
拟啄木鸟科	大拟啄木鸟
拟啄木鸟科	[斑头]绿拟啄木鸟
拟啄木鸟科	黄纹拟啄木鸟
拟啄木鸟科	金喉拟啄木鸟
拟啄木鸟科	黑眉拟啄木鸟
拟啄木鸟科	蓝喉拟啄木鸟
拟啄木鸟科	蓝耳拟啄木鸟
拟啄木鸟科	赤胸拟啄木鸟
犀鸟科	双角犀鸟
雉科	环颈山鹧鸪
犀鸟科	白喉犀鸟
犀鸟科	棕颈犀鸟
犀鸟科	花冠皱盔犀鸟
戴胜科	戴胜
咬鹃科	橙胸咬鹃
咬鹃科	红头咬鹃
咬鹃科	红腹咬鹃
佛法僧科	蓝胸佛法僧
佛法僧科	棕胸佛法僧
佛法僧科	三宝鸟
雉科	红喉山鹧鸪
翠鸟科	斑头大翠鸟
翠鸟科	普通翠鸟
翠鸟科	三趾翠鸟
翠鸟科	鹳嘴翡翠
翠鸟科	赤翡翠
翠鸟科	白胸翡翠
翠鸟科	蓝翡翠
翠鸟科	白领翡翠
鱼狗科	冠鱼狗
雉科	白颊山鹧鸪
鱼狗科	斑鱼狗
蜂虎科	[蓝须]夜蜂虎
蜂虎科	绿喉蜂虎
蜂虎科	蓝喉蜂虎
蜂虎科	黄喉蜂虎
蜂虎科	栗头蜂虎
杜鹃科	斑翅凤头鹃
杜鹃科	红翅凤头鹃
杜鹃科	鹰鹃
雉科	台湾山鹧鸪
杜鹃科	普通鹰鹃
杜鹃科	棕腹杜鹃
杜鹃科	四声杜鹃
杜鹃科	小杜鹃
杜鹃科	栗斑杜鹃
杜鹃科	翠金鹃
杜鹃科	紫金鹃
雉科	藏雪鸡
雉科	红胸山鹧鸪
杜鹃科	乌鹃
杜鹃科	噪鹃
杜鹃科	绿嘴地鹃
鸦鹃科	褐翅鸦鹃
鸦鹃科	小鸦鹃
鹦鹉科	彩虹鹦鹉
鹦鹉科	小葵花凤头鹦鹉
鹦鹉科	短尾鹦鹉
鹦鹉科	红领绿鹦鹉
鹦鹉科	灰头鹦鹉
雉科	褐胸山鹧鸪
鹦鹉科	花头鹦鹉
鹦鹉科	大紫胸鹦鹉
鹦鹉科	绯胸鹦鹉
鹦鹉科	长尾鹦鹉
雨燕科	短嘴金丝燕
雨燕科	戈氏金丝燕
雨燕科	白喉针尾雨燕
雨燕科	灰喉针尾雨燕
雨燕科	高山雨燕
雉科	四川山鹧鸪
雨燕科	普通楼燕
雨燕科	白腰雨燕
雨燕科	小白腰雨燕
树燕科	凤头树燕
草鸮科	仓鸮
草鸮科	草鸮
草鸮科	栗鸮
鸱鸮科	黄嘴角鸮
鸱鸮科	纵纹角鸮
鸱鸮科	红角鸮
雉科	白眉山鹧鸪
鸱鸮科	东方角鸮
鸱鸮科	琉球角鸮
鸱鸮科	领角鸮
鸱鸮科	雕鸮
鸱鸮科	林雕鸮
鸱鸮科	乌雕鸮
鸱鸮科	毛腿渔鸮
鸱鸮科	褐渔鸮
鸱鸮科	黄脚渔鸮
鸱鸮科	雪鸮
雉科	海南山鹧鸪
鸱鸮科	褐林鸮
鸱鸮科	灰林鸮
鸱鸮科	长尾林鸮
鸱鸮科	四川林鸮
鸱鸮科	乌林鸮
鸱鸮科	猛鸮
鸱鸮科	花头鸺鹠
鸱鸮科	领鸺鹠
鸱鸮科	斑头鸺鹠
鸱鸮科	纵纹腹小鸮
雉科	绿脚山鹧鸪
鸱鸮科	横斑腹小鸮
鸱鸮科	鬼鸮
鸱鸮科	鹰鸮
鸱鸮科	长耳鸮
鸱鸮科	短耳鸮
蟆口鸱科	黑顶蟆口鸱
耳夜鹰科	毛腿耳夜鹰
夜鹰科	普通夜鹰
夜鹰科	欧夜鹰
夜鹰科	埃及夜鹰
雉科	棕胸竹鸡
夜鹰科	中亚夜鹰
夜鹰科	长尾夜鹰
夜鹰科	林夜鹰
鸠鸽科	原鸽
鸠鸽科	岩鸽
鸠鸽科	雪鸽
鸠鸽科	欧鸽
鸠鸽科	中亚鸽
鸠鸽科	斑尾林鸽
鸠鸽科	点斑林鸽
雉科	灰胸竹鸡
鸠鸽科	灰林鸽
鸠鸽科	紫林鸽
鸠鸽科	黑林鸽
鸠鸽科	欧斑鸠
鸠鸽科	山斑鸠
鸠鸽科	棕斑鸠
鸠鸽科	珠颈斑鸠
鸠鸽科	火斑鸠
鸠鸽科	灰斑鸠
鸠鸽科	斑尾鹃鸠
雉科	血雉
鸠鸽科	栗褐鹃鸠
鸠鸽科	棕头鹃鸠
鸠鸽科	绿翅金鸠
鸠鸽科	橙胸绿鸠
鸠鸽科	灰头绿鸠
鸠鸽科	厚嘴绿鸠
鸠鸽科	黄脚绿鸠
鸠鸽科	针尾绿鸠
鸠鸽科	楔尾绿鸠
鸠鸽科	红翅绿鸠
雉科	黑头角雉
鸠鸽科	红顶绿鸠
鸠鸽科	黑颏果鸠
鸠鸽科	绿皇鸠
鸠鸽科	山皇鸠
鸨科	小鸨
鸨科	大鸨
鸨科	波斑鸨
鹤科	白鹤
鹤科	赤颈鹤
鹤科	白枕鹤
雉科	阿尔泰雪鸡
雉科	红胸角雉
鹤科	沙丘鹤
鹤科	蓑羽鹤
鹤科	灰鹤
鹤科	白头鹤
鹤科	黑颈鹤
鹤科	丹顶鹤
秧鸡科	花田鸡
秧鸡科	红腿斑秧鸡
秧鸡科	白喉斑秧鸡
秧鸡科	蓝胸秧鸡
雉科	灰腹角雉
秧鸡科	普通秧鸡
秧鸡科	长脚秧鸡
秧鸡科	红脚苦恶鸟
秧鸡科	白胸苦恶鸟
秧鸡科	棕背田鸡
秧鸡科	姬田鸡
秧鸡科	小田鸡
秧鸡科	斑胸田鸡
秧鸡科	红胸田鸡
秧鸡科	斑胁田鸡
秧鸡科	白眉田鸡
秧鸡科	董鸡
秧鸡科	紫水鸡
秧鸡科	黑水鸡
秧鸡科	骨顶鸡
沙鸡科	西藏毛腿沙鸡
沙鸡科	毛腿沙鸡
沙鸡科	黑腹沙鸡
丘鹬科	丘鹬
丘鹬科	孤沙锥
雉科	黄腹角雉
丘鹬科	澳南沙锥
丘鹬科	林沙锥
丘鹬科	针尾沙锥
丘鹬科	大沙锥
丘鹬科	扇尾沙锥
丘鹬科	姬鹬
丘鹬科	黑尾塍鹬
丘鹬科	斑尾塍鹬
丘鹬科	小杓鹬
丘鹬科	中杓鹬
雉科	勺鸡
丘鹬科	白腰杓鹬
丘鹬科	大杓鹬
丘鹬科	鹤鹬
丘鹬科	红脚鹬
丘鹬科	泽鹬
丘鹬科	青脚鹬
丘鹬科	小青脚鹬
丘鹬科	小黄脚鹬
丘鹬科	白腰草鹬
丘鹬科	林鹬
雉科	棕尾虹雉
丘鹬科	翘嘴鹬
丘鹬科	矶鹬
丘鹬科	灰尾[漂]鹬
丘鹬科	漂鹬
丘鹬科	翻石鹬
丘鹬科	大滨鹬
丘鹬科	红腹滨鹬
