雪鹑属	雪鹑
啄花鸟属	纯色啄花鸟
响蜜毷	黄腰响蜜
啄花鸟属	朱背啄花鸟
直嘴太阳鸟属	紫颊直嘴太阳鸟
花蜜鸟属	蓝枕花蜜鸟
花蜜鸟属	紫色花蜜鸟
太阳鸟属	蓝喉太阳鸟
太阳鸟属	绿喉太阳鸟
太阳鸟属	叉尾太阳鸟
太阳鸟属	黑胸太阳鸟
蚁毷	蚁
太阳鸟属	黄腰太阳鸟
太阳鸟属	火尾太阳鸟
捕蛛鸟属	长嘴捕蛛鸟
捕蛛鸟属	纹背捕蛛鸟
麻雀属	黑顶麻雀
麻雀属	家麻雀
麻雀属	黑胸麻雀
麻雀属	山麻雀
麻雀属	[树]麻雀
石雀属	石雀
山鹑属	高原山鹑
姬啄木鸟属	斑姬啄木鸟
雪雀属	白斑翅雪雀
雪雀属	褐翅雪雀
雪雀属	白腰雪雀
雪雀属	黑喉雪雀
雪雀属	棕颈雪雀
雪雀属	棕背雪雀
山鹡鸰属	山鹡鸰
鹡鸰属	黑背鹡鸰
鹡鸰属	日本鹡鸰
棕啄木鸟属	白眉棕啄木鸟
鹡鸰属	黄头鹡鸰
鹡鸰属	黄鹡鸰
鹡鸰属	灰鹡鸰
鹨属	理氏鹨
鹨属	田鹨
鹨属	平原鹨
鹨属	布莱氏鹨
鹨属	林鹨
鹨属	树鹨
鹨属	北鹨
啄木鸟属	星头啄木鸟
鹨属	草地鹨
鹨属	红喉鹨
鹨属	粉红胸鹨
鹨属	水鹨
鹨属	黄腹鹨
鹨属	山鹨
岩鹨属	领岩鹨
岩鹨属	高原岩鹨
岩鹨属	鸲岩鹨
岩鹨属	棕胸岩鹨
啄木鸟属	小星头啄木鸟
岩鹨属	棕眉山岩鹨
岩鹨属	褐岩鹨
岩鹨属	黑喉岩鹨
岩鹨属	贺兰山岩鹨
岩鹨属	栗背岩鹨
织布鸟属	黑喉织布鸟
织布鸟属	纹胸织布鸟
织布鸟属	黄胸织布鸟
梅花雀属	[红]梅花雀
文鸟属	白腰文鸟
啄木鸟属	小斑啄木鸟
文鸟属	斑文鸟
文鸟属	栗腹文鸟
禾雀属	禾雀
燕雀属	苍头燕雀
燕雀属	燕雀
金翅属	金翅[雀]
金翅属	高山金翅[雀]
金翅属	黑头金翅[雀]
金翅属	黄雀
啄木鸟属	茶胸斑啄木鸟
金翅属	藏黄雀
金翅属	红额金翅[雀]
金翅属	极北朱顶雀
金翅属	白腰朱顶雀
金翅属	黄嘴朱顶雀
金翅属	赤胸朱顶雀
岭雀属	林岭雀
岭雀属	高山岭雀
岭雀属	褐头岭雀
岭雀属	粉红腹岭雀
啄木鸟属	纹胸啄木鸟
金翅雀属	红眉金翅雀
沙雀属	赤翅沙雀
沙雀属	蒙古沙雀
沙雀属	巨嘴沙雀
长尾雀属	长尾雀
朱雀属	赤朱雀
朱雀属	暗胸朱雀
朱雀属	普通朱雀
朱雀属	红眉朱雀
朱雀属	曙红朱雀
啄木鸟属	棕腹啄木鸟
朱雀属	玫红眉朱雀
朱雀属	酒红朱雀
朱雀属	棕朱雀
朱雀属	沙色朱雀
朱雀属	北朱雀
朱雀属	斑翅朱雀
朱雀属	点翅朱雀
朱雀属	白眉朱雀
朱雀属	红腰朱雀
朱雀属	拟大朱雀
啄木鸟属	赤胸啄木鸟
朱雀属	大朱雀
朱雀属	红胸朱雀
朱雀属	藏雀
松雀属	松雀
松雀属	红眉松雀
血雀属	血雀
交嘴雀属	红交嘴雀
交嘴雀属	白翅交嘴雀
灰雀属	褐灰雀
灰雀属	红头灰雀
啄木鸟属	黄颈啄木鸟
灰雀属	灰头灰雀
锡嘴属	锡嘴雀
蜡嘴属	黑尾蜡嘴雀
蜡嘴属	黑头蜡嘴雀
拟蜡嘴属	黄颈拟蜡嘴雀
拟蜡嘴属	白点翅拟蜡嘴雀
拟蜡嘴属	白斑翅拟蜡嘴雀
黑雀属	金枕黑雀
朱鹀属	朱鹀
鹑属	鹌鹑
啄木鸟属	白背啄木鸟
凤头鹀属	凤头鹀
蓝鹀属	蓝鹀
鹀属	黄鹀
鹀属	白头鹀
鹀属	藏鹀
鹀属	灰眉岩鹀
鹀属	戈氏岩鹀
鹀属	三道眉草鹀
鹀属	栗斑腹鹀
鹀属	灰颈鹀
啄木鸟属	大斑啄木鸟
鹀属	圃鹀
鹀属	白眉鹀
鹀属	栗耳鹀
鹀属	小鹀
鹀属	黄眉鹀
鹀属	田鹀
鹀属	黄喉鹀
鹀属	黄胸鹀
鹀属	栗鹀
鹀属	黑头鹀
啄木鸟属	白翅啄木鸟
鹀属	褐头鹀
鹀属	硫黄鹀
鹀属	灰头鹀
鹀属	灰鹀
鹀属	苇鹀
鹀属	芦鹀
鹀属	红颈苇鹀
鹀属	黍鹀
铁爪鹀属	铁爪鹀
雪鹀属	雪鹀
三趾啄木鸟属	三趾啄木鸟
栗啄木鸟属	栗啄木鸟
黑啄木鸟属	白腹黑啄木鸟
黑啄木鸟属	黑啄木鸟
绿啄木鸟属	黄冠啄木鸟
绿啄木鸟属	大黄冠啄木鸟
绿啄木鸟属	花腹绿啄木鸟
鹑属	日本鹌鹑
绿啄木鸟属	鳞喉绿啄木鸟
绿啄木鸟属	鳞腹绿啄木鸟
绿啄木鸟属	红颈绿啄木鸟
绿啄木鸟属	灰头绿啄木鸟
金背三趾啄木鸟属	喜山金背三趾啄木鸟
金背啄木鸟属	大金背啄木鸟
噪啄木鸟属	黄嘴栗啄木鸟
鹑属	蓝胸鹑
拟啄木属	大拟啄木鸟
拟啄木属	[斑头]绿拟啄木鸟
拟啄木属	黄纹拟啄木鸟
拟啄木属	金喉拟啄木鸟
拟啄木属	黑眉拟啄木鸟
拟啄木属	蓝喉拟啄木鸟
拟啄木属	蓝耳拟啄木鸟
拟啄木属	赤胸拟啄木鸟
犀鸟属	双角犀鸟
